lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
1,0,105.0,9,1,4,1,0,0,0,1
74,0,101.5,9,18,3,2,0,1,0,1
42,1,112.59,9,15,4,1,0,0,0,1
13,0,85.0,3,20,3,0,1,0,0,1
27,0,75.0,2,6,4,1,1,3,0,0
14,1,118.0,2,24,3,3,0,0,0,1
26,2,169.52,9,28,4,4,1,0,6,0
163,1,72.25,8,21,3,6,4,1,0,1
36,0,91.0,10,13,3,3,0,1,0,1
19,0,80.0,10,6,3,3,0,0,0,1
106,2,88.4,12,21,4,5,2,0,0,1
28,0,97.0,1,8,3,2,0,1,0,1
166,3,87.5,11,12,4,4,2,0,0,1
13,0,71.0,1,20,3,1,0,0,0,1
26,0,126.0,4,13,4,1,0,0,3,1
3,1,122.0,11,20,4,2,0,0,0,1
19,0,87.0,2,23,3,5,0,0,0,1
14,1,189.5,11,7,4,1,1,0,0,1
52,0,63.75,3,9,4,4,0,3,0,0
3,0,123.0,6,20,4,0,1,3,0,1
68,0,121.5,5,10,4,3,0,0,0,0
15,0,216.86,5,29,4,5,2,1,3,0
61,3,155.52,11,6,4,3,2,0,0,1
54,1,118.2,12,30,4,4,1,0,3,1
232,2,91.8,12,1,4,3,0,0,3,1
263,0,110.0,10,21,3,2,0,0,0,0
22,2,96.9,11,17,4,3,1,0,3,1
237,0,128.4,10,13,4,3,0,0,3,0
0,0,95.0,6,23,2,1,0,0,0,1
24,0,80.0,12,2,3,2,1,0,0,1
258,0,110.0,10,16,4,0,1,0,0,0
160,0,94.5,7,25,4,2,1,3,0,0
3,0,67.0,9,12,2,2,1,0,0,1
74,1,107.1,8,9,4,4,0,3,0,1
42,1,118.5,10,31,4,1,1,0,0,1
0,1,67.5,1,23,4,1,0,3,0,1
0,0,64.0,1,14,3,1,0,0,0,1
31,0,104.64,10,2,4,1,2,0,0,1
20,1,112.25,8,29,4,3,1,3,0,1
85,0,50.3,8,11,4,2,0,0,0,0
103,0,115.0,4,19,3,2,0,0,0,0
37,0,95.0,10,13,3,3,0,0,0,1
100,1,154.7,4,13,4,4,0,0,5,0
102,0,80.0,10,16,4,2,0,1,0,0
100,0,100.63,11,13,4,2,2,0,3,0
0,1,90.71,9,7,4,4,1,0,0,1
8,2,136.0,10,18,4,2,2,0,3,1
0,1,50.0,3,10,2,1,0,0,0,1
52,0,99.0,8,28,4,0,1,3,0,1
124,1,46.67,3,15,3,5,1,0,0,1
96,0,94.5,7,11,3,1,2,1,0,0
67,0,48.51,2,13,4,1,2,3,0,1
80,0,108.0,10,9,3,2,0,1,3,1
74,0,80.0,9,18,3,2,0,1,0,1
145,0,65.0,1,3,3,1,2,0,0,1
213,0,80.75,8,8,4,3,1,3,0,0
0,0,126.0,10,11,4,0,1,0,0,1
19,0,129.0,9,25,4,0,1,3,0,0
2,0,91.0,10,13,3,3,0,1,0,1
19,1,65.1,9,11,4,0,2,3,0,0
261,0,68.51,12,26,4,7,3,3,0,0
99,1,80.75,4,27,3,6,2,0,0,1
179,1,76.5,8,23,4,3,2,0,0,1
123,0,126.86,6,28,4,6,2,0,0,0
8,0,81.0,2,19,2,1,0,0,0,1
198,0,90.0,9,9,3,2,1,0,0,0
386,1,115.0,10,23,3,0,2,1,0,0
22,1,130.0,10,25,4,4,0,0,0,1
1,1,151.0,8,4,4,1,0,0,0,1
164,0,100.0,10,2,3,2,0,0,0,1
141,2,105.3,7,17,4,1,2,0,0,1
35,0,99.0,9,26,4,0,1,3,0,0
10,0,129.0,5,15,2,9,4,0,0,1
77,0,90.95,10,20,3,3,1,0,3,1
128,1,151.2,10,18,4,5,1,0,3,1
79,0,152.4,6,16,4,4,2,0,3,1
8,1,111.35,5,25,4,1,0,0,0,1
3,1,89.5,12,19,4,1,1,0,0,1
3,0,86.0,2,4,4,1,0,0,0,1
0,0,99.0,8,11,4,1,0,0,0,1
21,0,63.75,11,21,3,5,1,0,0,1
79,2,109.8,12,15,4,3,0,0,0,1
3,1,67.57,12,21,4,4,0,3,0,1
151,0,63.75,8,5,3,2,1,3,0,1
1,2,89.25,10,17,4,2,2,0,0,1
177,0,100.0,6,3,3,2,0,0,0,0
204,1,90.95,7,18,4,8,3,0,0,1
58,0,90.0,1,27,3,3,0,0,0,1
14,1,134.0,5,30,4,1,1,0,0,1
100,1,140.0,9,28,3,4,0,1,0,1
443,0,60.0,4,29,3,1,0,0,0,0
54,2,143.1,4,30,4,1,1,0,0,1
34,0,152.1,8,13,4,1,2,0,0,1
5,0,56.0,1,5,3,5,0,0,0,1
11,1,57.98,1,28,4,1,0,3,0,1
55,1,68.07,11,24,4,3,2,0,0,1
63,0,140.4,5,10,4,3,0,0,3,0
84,0,50.33,3,5,3,4,2,0,0,1
221,0,73.0,8,12,3,1,0,1,0,1
275,0,62.8,6,4,3,1,1,0,0,0
44,2,219.6,8,10,4,1,0,1,3,1
163,2,126.9,9,23,4,1,0,0,0,0
13,0,73.0,4,26,3,3,0,1,0,1
315,0,52.0,12,2,3,2,0,0,0,1
82,0,99.45,3,24,4,3,1,0,3,1
69,0,120.0,6,12,3,4,2,0,0,0
151,0,71.0,1,19,3,2,0,0,0,1
164,0,96.3,8,29,4,2,1,0,0,0
6,2,69.5,1,12,4,2,0,3,0,1
159,1,130.5,8,7,4,1,2,0,0,0
65,0,162.45,6,10,4,7,3,0,0,0
3,1,135.67,3,25,4,2,1,3,0,1
0,2,108.88,12,7,4,4,0,0,3,1
21,1,131.35,12,29,4,3,1,0,3,1
289,0,67.0,10,17,3,1,0,0,0,1
