lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
115,0,76.0,2,27,3,3,2,0,0,1
131,0,94.5,8,15,3,1,2,1,0,1
16,0,164.0,9,26,4,0,1,0,3,0
169,0,106.0,4,22,3,2,2,1,0,0
5,1,0.0,12,5,1,0,1,0,0,1
88,0,80.0,10,7,2,2,0,0,0,1
305,0,89.0,11,4,3,2,1,0,0,0
130,2,139.5,9,29,4,3,0,0,3,1
153,1,106.2,6,4,4,1,2,0,0,0
257,0,101.5,7,1,3,2,0,1,0,0
26,1,116.85,9,5,4,4,2,0,0,0
275,0,90.0,10,5,3,4,1,0,0,0
225,0,96.3,8,12,4,2,0,0,0,0
210,0,86.0,10,8,3,3,1,1,0,0
256,0,90.0,6,15,3,2,0,1,0,1
37,2,104.0,11,17,4,2,0,0,0,1
327,0,88.0,9,9,3,4,2,1,0,1
102,0,87.0,10,16,3,2,0,1,0,1
19,1,77.0,1,21,4,1,0,3,0,1
54,1,96.0,11,11,4,2,1,0,0,0
61,0,256.1,7,10,4,1,2,0,6,0
82,1,121.5,6,10,4,2,0,0,0,1
212,1,96.9,8,19,3,2,2,0,0,1
49,2,98.87,6,8,4,3,0,0,3,1
14,1,101.0,6,13,4,1,1,0,0,1
156,0,170.28,8,17,4,4,2,0,5,0
1,0,85.0,2,12,3,2,1,0,0,1
137,1,118.8,8,19,4,2,0,0,0,1
186,1,130.05,8,15,4,4,1,0,3,0
242,0,100.3,9,10,4,2,2,0,0,0
0,1,0.0,9,28,1,1,0,0,3,1
95,2,84.6,11,20,4,0,2,0,0,0
121,0,80.75,5,26,3,3,0,0,0,1
109,1,76.5,4,18,4,3,1,3,0,0
260,2,100.3,10,7,4,4,2,0,0,0
95,0,81.5,3,23,4,3,0,3,0,1
61,1,139.34,7,18,4,8,3,0,4,0
3,0,162.67,7,10,4,1,2,0,3,0
27,1,74.8,12,6,4,4,0,3,0,1
83,0,123.75,7,18,4,3,1,0,0,0
95,1,82.07,4,27,4,4,0,0,3,0
247,1,115.0,6,6,3,1,1,1,0,0
110,1,99.79,9,6,4,4,0,0,0,1
